PGN;PGN label;In CSS electronics' DBC?
36608;Engine Configuration Commands;J1939 DBC
36864;Supplemental Fan Command;J1939 DBC
37120;Vehicle/Chassis Lubrication System 1;J1939 DBC
37376;Aftertreatment 1 Hydrocarbon Doser Information 1;J1939 DBC
37632;NAME Management Message;No
37888;Aftertreatment 1 Diesel Particulate Filter Soot Sensor Calibration;J1939 DBC
38144;Aftertreatment 2 Diesel Particulate Filter Soot Sensor Calibration;J1939 DBC
38400;Low Voltage Disconnect Set Operating Mode;J1939 DBC
38656;Noise Control Status;J1939 DBC
38912;Noise Control 1;J1939 DBC
39168;Joystick Lamp Command Message;J1939 DBC
39424;General Purpose Message #1/8;No
39680;Proprietary Method Identification;J1939 DBC
39936;Auxiliary Input/Output Status 7;J1939 DBC
40192;Auxiliary Input/Output Status 6;J1939 DBC
40448;DTC Counts;No
40704;Immediate Fault Status;No
40960;NTE Status;No
41216;Emission Increasing Auxiliary Emission Control Device Active Time;No
41472;Regulated Exhaust Emission Level Exceedance;No
41728;DTC To Lamp Association;No
41984;Scaled Test Results;No
42240;Auxiliary Input/Output Status 4;J1939 DBC
42496;Auxiliary Input/Output Status 3;J1939 DBC
42752;Auxiliary Input/Output Status 2;J1939 DBC
43008;Text Display;No
43264;Forward Lane Image Command;J1939 DBC
43520;Client (ECU) to File Server message;No
43776;File Server to Client (ECU) message;No
44032;Agricultural Guidance Machine Info;ISOBUS DBC (2022-08)
44288;Agricultural Guidance System command;ISOBUS DBC (2022-08)
44544;Tire Pressure Reference Setting;J1939 DBC
44800;Parameter Locate Message;No
45056;Configuration Identification Message;No
45312;Proprietarily Configurable Message #1;No
45568;Proprietarily Configurable Message #2;No
45824;Proprietarily Configurable Message #3;No
46080;Proprietarily Configurable Message #4;No
46336;Proprietarily Configurable Message #5;No
46592;Proprietarily Configurable Message #6;No
46848;Proprietarily Configurable Message #7;No
47104;Proprietarily Configurable Message #8;No
47360;Proprietarily Configurable Message #9;No
47616;Proprietarily Configurable Message #10;No
47872;Proprietarily Configurable Message #11;No
48128;Proprietarily Configurable Message #12;No
48384;Proprietarily Configurable Message #13;No
48640;Proprietarily Configurable Message #14;No
48896;Proprietarily Configurable Message #15;No
49152;Proprietarily Configurable Message #16;No
49408;Diagnostic Readiness 2;No
49664;Monitor Performance Ratio;No
49920;Individual Clear/Reset Of Active And Previously Active DTC;No
50176;General Purpose Valve command;ISOBUS DBC (2022-08)
50432;General Purpose Valve measured flow;ISOBUS DBC (2022-08)
50688;General Purpose Valve estimated flow;ISOBUS DBC (2022-08)
50944;Extended Transport Protocol - Data Transfer;No
51200;Extended Transport Protocol - Connection Management;No
51456;Request 2;No
51712;Transfer;No
51968;Process Data Message;No
52224;Request for Repetition Rate;ISOBUS DBC (2022-08)
52480;Reserved for ISO 15765-2;No
52736;Reserved for ISO 15765-2;No
52992;Continuous Torque & Speed Limit Request;J1939 DBC
53248;Background lighting level command;J1939 DBC & ISOBUS DBC
53504;Air Suspension Control 6;J1939 DBC
53760;Air Suspension Control 2;J1939 DBC
54016;Calibration Information;No
54272;Data Security;No
54528;Time/Date Adjust;J1939 DBC
54784;Boot Load Data;No
55040;Binary Data Transfer;No
55296;Memory Access Response;No
55552;Memory Access Request;No
55808;Reserved for ISO 15765-2;No
56064;Reserved for ISO 15765-2;No
56320;Anti-theft Status;J1939 DBC
56576;Anti-theft Request;J1939 DBC
56832;Reset;J1939 DBC
57088;Stop Start Broadcast;No
57344;Cab Message 1;J1939 DBC
57600;General Purpose Message #2/1;No
57856;General Purpose Message #1/1;No
58112;Command Non-continuously Monitored Test;No
58368;Running Gear Equipment #1/1;No
58624;Running Gear Equipment #2/1;No
58880;Virtual Terminal-to-Node;No
59136;Node-to-Virtual Terminal;No
