Original;LogTimestamp;LogID;Ret;Sz;Blk;LogDataBytes;timestamps;echoByte;PGN;Priority;Source;Destination;DataBytes;DataLength;ID;BusChannel;IDE;DLC;Dir;EDL;BRS;PgnLabel;PgnInDbc
000001.280642 (000.003832)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 01 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.280642;00;0019;02048;1;0011EF01000000000303003900190000000000;1.6469418812255645e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.284427 (000.003785)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 15 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.284427;00;0019;02048;1;0011EF15000000000303003900190000000000;1.646969907194851e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.288401 (000.003974)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 16 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.288401;00;0019;02048;1;0011EF160023FF000303FF101000FD43FFFF01;1.6469713084933154e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.291544 (000.003143)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 18 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.291544;00;0019;02048;1;0011EF180004F0000300FFFE7D7D0000FFFFFF;1.646974111090244e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.294631 (000.003087)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 28 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.294631;00;0019;02048;1;0011EF280020FF000300FF1021000000FFD0FF;1.6469965318656732e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.299065 (000.004433)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 29 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.299065;00;0019;02048;1;0011EF29000000000303003900190000000000;1.6469979331641375e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.303594 (000.004529)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 2D 00 F0 FE 00 06 00 FF FF FF FF 00 00 FF 33 FF;000001.303594;00;0019;02048;1;0011EF2D00F0FE000600FFFFFFFF0000FF33FF;1.6470035383579948e-39;00;00FEF0;06;00;FF;FFFFFF0000FF33FF;8;18FEF000;1;1;8;1;1;1;Power Takeoff Information;J1939 DBC
000001.307036 (000.003443)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 2E 00 00 F0 00 06 0F FF C0 7D FF FF FF FF FF FF;000001.307036;00;0019;02048;1;0011EF2E0000F000060FFFC07DFFFFFFFFFFFF;1.647004939656459e-39;00;00F000;06;0F;FF;C07DFFFFFFFFFFFF;8;18F0000F;1;1;8;1;1;1;Electronic Retarder Controller 1;J1939 DBC
000001.313917 (000.006881)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 3C 00 03 F0 00 03 05 FF 00 00 00 00 00 00 00 00;000001.313917;00;0019;02048;1;0011EF3C0003F0000305FF0000000000000000;1.6470245578349597e-39;00;00F003;03;05;FF;0000000000000000;8;CF00305;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
000001.317098 (000.003181)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 3E 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.317098;00;0019;02048;1;0011EF3E000000000303003900190000000000;1.6470273604318883e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.320966 (000.003868)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 3F 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.320966;00;0019;02048;1;0011EF3F0004F0000300FFFE7D7D0000FFFFFF;1.6470287617303527e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.324702 (000.003736)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 40 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.324702;00;0019;02048;1;0011EF400023FF000303FF101000FD43FFFF01;1.647030163028817e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.327332 (000.002630)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 41 00 03 F0 00 03 00 FF F1 FF 00 00 FF FF 00 FF;000001.327332;00;0019;02048;1;0011EF410003F0000300FFF1FF0000FFFF00FF;1.6470315643272813e-39;00;00F003;03;00;FF;F1FF0000FFFF00FF;8;CF00300;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
000001.331144 (000.003812)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 50 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.331144;00;0019;02048;1;0011EF500020FF000300FF1021000000FFD0FF;1.6470525838042462e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.334617 (000.003473)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 51 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.334617;00;0019;02048;1;0011EF51000000000303003900190000000000;1.6470539851027105e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.337833 (000.003216)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 53 00 F1 FE 00 06 00 FF FF 00 00 00 00 00 E0 C0;000001.337833;00;0019;02048;1;0011EF5300F1FE000600FFFF0000000000E0C0;1.6470567876996392e-39;00;00FEF1;06;00;FF;FF0000000000E0C0;8;18FEF100;1;1;8;1;1;1;Cruise Control/Vehicle Speed 1;J1939 DBC
000001.341737 (000.003904)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 65 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.341737;00;0019;02048;1;0011EF65000000000303003900190000000000;1.647082011071997e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.344096 (000.002360)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 66 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.344096;00;0019;02048;1;0011EF660023FF000303FF101000FD43FFFF01;1.6470834123704613e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.347957 (000.003861)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 67 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.347957;00;0019;02048;1;0011EF670004F0000300FFFE7D7D0000FFFFFF;1.6470848136689257e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.351258 (000.003300)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 78 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.351258;00;0019;02048;1;0011EF780020FF000300FF1021000000FFD0FF;1.6471086357428192e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.354926 (000.003668)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 79 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.354926;00;0019;02048;1;0011EF79000000000303003900190000000000;1.6471100370412835e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.358766 (000.003840)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 7A 00 22 FF 00 03 00 FF 41 FF FF FF FF FF FF FF;000001.358766;00;0019;02048;1;0011EF7A0022FF000300FF41FFFFFFFFFFFFFF;1.6471114383397478e-39;00;00FF22;03;00;FF;41FFFFFFFFFFFFFF;8;CFF2200;1;1;8;1;1;1;Proprietary B;No
000001.363068 (000.004302)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 7C 00 F2 FE 00 06 00 FF 00 00 FF FF FF FF FF FF;000001.363068;00;0019;02048;1;0011EF7C00F2FE000600FF0000FFFFFFFFFFFF;1.6471142409366765e-39;00;00FEF2;06;00;FF;0000FFFFFFFFFFFF;8;18FEF200;1;1;8;1;1;1;Fuel Economy (Liquid);J1939 DBC
000001.367371 (000.004302)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 8C 00 03 F0 00 03 05 FF 00 00 00 00 00 00 00 00;000001.367371;00;0019;02048;1;0011EF8C0003F0000305FF0000000000000000;1.6471366617121057e-39;00;00F003;03;05;FF;0000000000000000;8;CF00305;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
000001.371258 (000.003887)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 8E 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.371258;00;0019;02048;1;0011EF8E000000000303003900190000000000;1.6471394643090343e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.376715 (000.005457)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 8F 00 24 FF 00 03 03 FF 41 51 26 05 00 FF FF FF;000001.376715;00;0019;02048;1;0011EF8F0024FF000303FF4151260500FFFFFF;1.6471408656074987e-39;00;00FF24;03;03;FF;4151260500FFFFFF;8;CFF2403;1;1;8;1;1;1;Proprietary B;No
